,ARR_Airline,AC_TYPE,STA_Weekday,STA_time_of_the_day,STA_Month,Registration,Arr_Stand
2445,JU,319,0,1320,1,YUAPF,A1
2446,SU,32A,0,1320,1,VPBTA,A4
2447,JU,AT7,0,1330,1,YUALN,C10
2448,JU,319,0,1340,1,YUAPE,C6
2449,JU,AT7,0,1340,1,YUALV,C9
2450,WZZ,320,0,1370,1,HALWC,A8
2451,JU,319,0,1375,1,YUAPD,C5
2452,WZZ,32A,1,20,1,HALYP,A5
2453,EY,32A,1,320,1,A6EIY,C1
2454,JU,AT7,1,325,1,YUALN,C10
2455,AMER,TBM8,1,460,1,N850LH,A12-2
2456,TK,73H,1,485,1,TCJVU,A1
2457,EZS,32A,1,485,1,HBJXE,A2
2458,YM,E95,1,495,1,4OAOC,A5
2459,YM,100,1,495,1,4OAOM,A4
2460,RO,AT5,1,525,1,YRATF,A3
2461,EZY,32A,1,535,1,OEICB,B4
2462,JU,AT7,1,565,1,YUALT,C7
2463,MDF,SW4,1,590,1,SXBGU,A14-4
2464,AMER,525A,1,640,1,N188MP,A14-3
2465,QR,320,1,640,1,A7AHB,A2
2466,JU,AT7,1,645,1,YUALV,C8
2467,HV,73W,1,660,1,PHXRX,C4
2468,MDF,SW4,1,660,1,SXBMT,A13-4
2469,GERMAN,P46T,1,660,1,DEGTC,A14-2
2470,JU,AT7,1,665,1,YUALO,C9
2471,JU,319,1,670,1,YUAPC,A4
2472,JU,AT7,1,685,1,YUALN,C10
2473,TU,320,1,695,1,TSIMR,C2
2474,WZZ,32A,1,710,1,HALYP,A7
2475,SU,32A,1,715,1,VPBLP,A3
2476,ED,73H,1,730,1,OMGEX,A6
2477,FZ,7M8,1,735,1,A6FMC,A5
2478,JU,319,1,735,1,YUAPF,C5
2479,JU,319,1,750,1,YUAPD,C3
2480,LH,319,1,760,1,DAILT,A1
2481,LH,320,1,770,1,DAIPR,A2
2482,WZ,320,1,780,1,VPBWX,C4
2483,LO,E70,1,810,1,SPLDI,C1
2484,LX,320,1,840,1,HBJLQ,A4
2485,OS,DH4,1,850,1,OELGL,A3
2486,ITALY,680,1,880,1,IWALK,A11-2
2487,CZECH,P46T,1,915,1,OKVIP,A13-2
2488,JU,AT7,1,970,1,YUALT,C8
2489,JU,319,1,975,1,YUAPC,C4
2490,JU,AT7,1,975,1,YUALO,C10
2491,LH,319,1,980,1,DAIBE,A1
2492,JU,AT7,1,1005,1,YUALN,C7
2493,JU,319,1,1020,1,YUAPE,C1
2494,OS,DH4,1,1070,1,OELGG,A5
2495,AZ,319,1,1070,1,EIIMM,C5
2496,SU,320,1,1075,1,VQBCM,C2
2497,JU,AT7,1,1080,1,YUALV,C9
2498,WZZ,32A,1,1085,1,HALYP,A3
2499,WZZ,320,1,1095,1,HALWC,A4
2500,YM,E95,1,1125,1,4OAOB,A1
2501,SRB,FA50,1,1150,1,YUBNA,B2
2502,TK,321,1,1170,1,TCJRA,A2
2503,OS,DH4,1,1290,1,OELGA,A5
2504,JU,AT7,1,1310,1,YUALV,C8
2505,SU,32A,1,1325,1,VPBLP,A2
2506,JU,AT7,1,1330,1,YUALN,C7
2507,JU,319,1,1340,1,YUAPE,C2
2508,JU,319,1,1345,1,YUAPC,A4
2509,JU,319,1,1380,1,YUAPF,C3
2510,WZZ,32A,1,1395,1,HALYP,A9
2511,PINK,550,1,1430,1,YUBTB,A12-1
2512,WZZ,320,2,80,1,HALWC,A8
2513,JU,319,2,105,1,YUAPB,A1
2514,EY,32A,2,320,1,A6EIS,C2
2515,JU,319,2,350,1,YUAPA,C1
2516,TK,73H,2,485,1,TCJGG,C3
2517,YM,100,2,495,1,4OAOM,A3
2518,YM,E95,2,495,1,4OAOB,A4
2519,RO,AT5,2,525,1,YRATF,C8
2520,JU,AT7,2,565,1,YUALN,C9
2521,PINK,550,2,585,1,YUBTB,A12-2
2522,QR,320,2,640,1,A7AHT,A3
2523,JU,AT7,2,645,1,YUALV,C10
2524,JU,319,2,650,1,YUAPJ,C3
2525,AZ,320,2,650,1,EIDTG,A1
2526,JU,319,2,660,1,YUAPC,A6
2527,JU,AT7,2,665,1,YUALP,C7
2528,JU,AT7,2,665,1,YUALO,C8
2529,JU,319,2,670,1,YUAPE,A7
2530,JU,319,2,700,1,YUAPB,C6
2531,SU,320,2,715,1,VPBTJ,A5
2532,DY,73H,2,715,1,LNDYO,C4
2533,JU,319,2,725,1,YUAPI,A4
2534,FZ,7M8,2,735,1,A6MAX,A2
2535,JU,319,2,750,1,YUAPD,A1
2536,JU,AT7,2,755,1,YUALN,C9
2537,LH,319,2,760,1,DAILD,A3
2538,LH,32A,2,760,1,DAIZZ,C5
2539,FB,E90,2,790,1,LZPLO,A8
2540,LO,E70,2,810,1,SPLDH,C4
2541,A3,320,2,820,1,SXDVK,C2
2542,LX,320,2,840,1,HBIJL,A5
2543,OS,DH4,2,850,1,OELGA,A3
2544,SRBIJA,P44,2,860,1,YUBWW,A13-2
2545,WZZ,32A,2,900,1,HALYP,A9
2546,DFC,525B,2,915,1,OKKIN,A14-2
2547,JU,319,2,960,1,YUAPC,C4
2548,JU,319,2,960,1,YUAPI,C1
2549,JU,AT7,2,970,1,YUALP,C7
2550,JU,AT7,2,975,1,YUALN,C8
2551,JU,319,2,975,1,YUAPJ,A3
2552,JU,AT7,2,975,1,YUALO,A6
2553,LH,CR9,2,980,1,DACKD,A4
2554,LO,E75,2,980,1,SPLIA,C2
2555,KK,321,2,1010,1,TCATR,A2
2556,JU,319,2,1020,1,YUAPF,C3
2557,WZZ,320,2,1030,1,HALWC,A5
2558,JU,319,2,1030,1,YUAPA,C5
2559,OS,DH4,2,1070,1,OELGE,A4
2560,SU,320,2,1075,1,VPBKY,C2
2561,JU,319,2,1110,1,YUAPE,A3
2562,YM,E95,2,1125,1,4OAOB,A2
2563,TK,321,2,1170,1,TCJRH,C2
2564,OS,DH4,2,1290,1,OELGE,A5
2565,JU,AT7,2,1305,1,YUALO,C7
2566,SU,32A,2,1315,1,VPBTO,A1
2567,JU,319,2,1315,1,YUAPJ,A2
2568,JU,AT7,2,1330,1,YUALP,C9
2569,JU,319,2,1340,1,YUAPC,C5
2570,JU,AT7,2,1340,1,YUALV,C8
2571,JU,319,2,1345,1,YUAPA,C6
2572,JU,AT7,2,1350,1,YUALN,C10
2573,WZZ,320,2,1370,1,HALWC,A8
2574,JU,319,2,1375,1,YUAPD,C1
2575,JU,AT7,4,430,1,YUALV,C10
2576,VJT,CL30,4,660,1,9HVCN,A11-2
2577,AUSTRI,EA5,4,840,1,OEFXJ,A11-3
2578,OS,DH4,4,470,1,OELGC,A4
2579,JU,AT7,4,450,1,YUALT,C7
2580,JU,AT7,4,435,1,YUALO,C8
2581,JU,319,4,395,1,YUAPC,A1
2582,JU,319,4,410,1,YUAPF,A2
2583,JU,319,4,25,1,YUAPA,C2
2584,JU,319,4,400,1,YUAPE,A5
2585,WZZ,320,4,390,1,HALWC,A9
2586,JU,319,4,400,1,YUAPD,A3
2587,WZZ,32A,4,375,1,HALYP,A8
2588,EY,32A,4,735,1,A6EIU,C1
2589,TK,73J,4,540,1,TCJYO,A1
2590,YM,E95,4,535,1,4OAOB,A2
2591,YM,E95,4,915,1,4OAOC,A6
2592,EZS,319,4,545,1,HBJYF,A5
2593,RO,AT5,4,560,1,YRATF,A7
2594,JU,AT7,4,805,1,YUALP,C7
2595,LX,CS1,4,610,1,HBJBA,B4
2596,WZZ,32A,4,630,1,HALYP,A4
2597,QR,320,4,700,1,A7ADB,C1
2598,JU,AT7,4,830,1,YUALV,C10
2599,JU,319,4,795,1,YUAPJ,C2
2600,AZ,320,4,705,1,EIIKG,A5
2601,JU,AT7,4,795,1,YUALO,C9
2602,JU,AT7,4,800,1,YUALT,C8
2603,JU,319,4,740,1,YUAPF,C3
2604,KK,321,4,735,1,TCATF,A2
2605,WZZ,320,4,735,1,HALWC,A8
2606,PC,73H,4,765,1,TCAJP,A4
2607,JU,319,4,795,1,YUAPE,C6
2608,SU,32A,4,775,1,VPBLP,A3
2609,FRV,GLF5,4,840,1,CNMMT,B5
2610,JU,319,4,815,1,YUAPD,C5
2611,EZY,319,4,790,1,GEZBV,A5
2612,LH,321,4,795,1,DAIRY,C4
2613,LH,320,4,815,1,DAIQW,A1
2614,LO,E95,4,845,1,SPLNH,C3
2615,A3,320,4,865,1,SXDVK,A4
2616,LX,319,4,895,1,HBIPT,C2
2617,TK,31Y,4,930,1,TCLER,B7
2618,OS,DH4,4,910,1,OELGC,A3
2619,WZZ,32A,4,940,1,HALYP,A5
2620,JU,AT7,4,1105,1,YUALV,C7
2621,JU,319,4,1025,1,YUAPD,C6
2622,JU,AT7,4,1115,1,YUALT,C9
2623,JU,AT7,4,1060,1,YUALP,C8
2624,JU,319,4,1070,1,YUAPE,C4
2625,LH,319,4,1020,1,DAILA,A4
2626,LO,E75,4,1015,1,SPLIN,A3
2627,JU,319,4,1080,1,YUAPF,A2
2628,JU,AT7,4,1100,1,YUALO,C10
2629,JU,319,4,1095,1,YUAPB,C5
2630,JU,319,4,1085,1,YUAPJ,C3
2631,WZZ,320,4,1060,1,HALWC,A5
2632,OS,DH4,4,1100,1,OELGG,A6
2633,SU,320,4,1125,1,VQBIW,C2
2634,YM,E95,4,1125,1,4OAOB,A3
2635,QGA,CL30,5,780,1,DBOOM,A11-2
2636,WZZ,32A,5,755,1,HALYP,A9
2637,TK,321,4,1225,1,TCJSB,C4
2638,YM,E95,4,1215,1,4OAOA,C1
2639,OS,DH4,5,470,1,OELGG,A10
2640,JU,AT7,5,415,1,YUALO,C10
2641,SU,32A,4,1415,1,VPBLR,A1
2642,JU,319,5,400,1,YUAPJ,C3
2643,JU,AT7,5,805,1,YUALV,C9
2644,JU,AT7,5,450,1,YUALT,C5
2645,JU,319,4,1435,1,YUAPF,A4
2646,JU,319,4,1420,1,YUAPB,A3
2647,JU,AT7,5,435,1,YUALP,C7
2648,WZZ,320,5,375,1,HALWC,A8
2649,JU,319,5,395,1,YUAPD,C6
2650,JU,AT7,5,410,1,YUALN,C8
2651,JU,319,4,1395,1,YUAPE,A2
2652,JU,319,5,400,1,YUAPA,C2
2653,WZZ,32A,5,740,1,HALWV,A10
2654,EY,32A,5,735,1,A6EIM,C1
2655,JU,319,5,410,1,YUAPF,A1
2656,JU,319,5,390,1,YUAPB,A3
2657,TK,73H,5,540,1,TCJGY,A1
2658,YM,100,5,535,1,4OAOM,A3
2659,LX,319,5,565,1,HBIPX,C2
2660,B2,E75,5,610,1,EW512PO,C3
2661,YM,E95,5,615,1,4OAOA,A2
2662,QR,320,5,700,1,A7AHL,A1
2663,JU,319,5,740,1,YUAPE,C2
2664,AZ,320,5,700,1,EIDSW,A3
2665,JU,AT7,5,795,1,YUALP,C8
2666,JU,AT7,5,595,1,YUALT,C7
2667,JU,319,5,815,1,YUAPF,C3
2668,JU,AT7,5,795,1,YUALN,C10
2669,WZZ,320,5,755,1,HALWC,A8
2670,SU,32A,5,775,1,VPBCA,C4
2671,JU,733,5,800,1,YUANK,A6
2672,FZ,7M8,5,780,1,A6FMC,A2
2673,JU,319,5,1075,1,YUAPA,A4
2674,JU,319,5,1065,1,YUAPB,A2
2675,JU,AT7,5,830,1,YUALT,C7
2676,LH,CR9,5,795,1,DACKL,A3
2677,LH,321,5,805,1,DAIDG,A1
2678,WZ,320,5,840,1,VPBWZ,C1
2679,LO,E75,5,845,1,SPLIC,C4
2680,LX,320,5,885,1,HBIJR,A5
2681,OS,DH4,5,910,1,OELGG,A1
2682,YM,100,5,915,1,4OAOM,A3
2683,JU,AT7,5,1115,1,YUALT,C10
2684,JU,319,5,1080,1,YUAPF,A1
2685,JU,319,6,395,1,YUAPE,C1
2686,LH,CR9,5,1015,1,DACKB,A3
2687,JU,AT7,6,415,1,YUALN,C8
2688,SRBIJA,525,5,1080,1,YUMTU,A12-2
2689,JU,319,6,405,1,YUAPC,C2
2690,WZZ,320,5,1115,1,HALWC,A3
2691,WZZ,32A,5,1140,1,HALYP,A5
2692,YM,E95,5,1165,1,4OAOA,A2
2693,TK,32B,5,1225,1,TCJSE,A1
2694,DY,73H,5,1260,1,LNNGW,A4
2695,SU,32A,5,1415,1,VPBNL,A5
2696,JU,319,6,420,1,YUAPF,C4
2697,WZZ,320,6,755,1,HALWC,A9
2698,WZZ,32A,6,735,1,HALYP,A8
2699,SM,320,6,330,1,SUBPV,A5
2700,FRV,GLF5,6,360,1,CNMMT,B4
2701,EY,320,6,735,1,A6EIN,A2
2702,TK,73H,6,540,1,TCJHY,A1
2703,EZS,319,6,540,1,HBJYC,A3
2704,JU,AT7,6,595,1,YUALN,A10
2705,YM,E95,6,615,1,4OAOA,A4
2706,QR,321,6,700,1,A7AIC,C6
2707,JU,AT7,6,830,1,YUALV,C7
2708,JU,319,6,815,1,YUAPA,C2
2709,JU,319,6,795,1,YUAPF,A6
2710,JU,319,6,740,1,YUAPE,C5
2711,HV,73H,6,705,1,PHHZW,A5
2712,JU,319,6,795,1,YUAPC,A7
2713,JU,319,6,1025,1,YUAPD,C1
2714,JU,319,6,1055,1,YUAPI,C6
2715,PC,3N0,6,765,1,TCNBF,A3
2716,SU,32A,6,775,1,VPBLR,A4
2717,FZ,7M8,6,780,1,A6FMF,A5
2718,EZY,319,6,790,1,OELQE,A1
2719,JU,AT7,6,800,1,YUALN,A10
2720,LH,CR9,6,795,1,DACNW,C5
2721,LH,321,6,815,1,DAISU,A2
2722,LX,320,6,895,1,HBIJS,A1
2723,OS,DH4,6,910,1,OELGE,C3
2724,YM,100,6,915,1,4OAOM,A3
2725,JU,AT7,6,1060,1,YUALV,C9
2726,JU,319,6,1050,1,YUAPA,C4
2727,JU,AT7,6,1020,1,YUALN,C7
2728,JU,319,6,1070,1,YUAPC,A1
2729,JU,AT7,6,1105,1,YUALP,C10
2730,LO,E75,6,1015,1,SPLID,A4
2731,LH,319,6,1020,1,DAIBC,A2
2732,JU,AT7,6,1115,1,YUALT,C8
2733,JU,319,6,1080,1,YUAPE,C3
2734,JU,319,6,1065,1,YUAPJ,C2
2735,WZZ,32A,6,1060,1,HALYP,A5
2736,JU,319,6,1095,1,YUAPF,C5
2737,KK,321,6,1095,1,TCETV,C4
2738,AZ,320,6,1120,1,EIDSU,A3
2739,OS,DH4,6,1100,1,OELGL,A6
2740,SU,320,6,1125,1,VPBKY,C1
2741,YM,E95,6,1125,1,4OAOB,A2
2742,WZZ,320,6,1115,1,HALWC,A4
2743,LX,320,6,1200,1,HBJLR,A1
2744,FRV,GLF5,6,1200,1,CNMMT,B5
2745,TK,321,6,1225,1,TCJRA,C2
2746,JU,AT7,6,1245,1,YUALN,C9
2747,SU,32A,6,1415,1,VPBNT,A4
2748,JU,AT7,0,20,1,YUALP,C7
2749,JU,319,6,1395,1,YUAPE,A2
2750,JU,AT7,0,435,1,YUALT,C10
2751,JU,319,0,410,1,YUAPI,A6
2752,JU,319,6,1420,1,YUAPF,C1
2753,WZZ,32A,0,390,1,HALYP,A5
2754,JU,319,0,400,1,YUAPC,C4
2755,WZZ,320,0,375,1,HALWC,A7
2756,JU,319,0,400,1,YUAPD,A1
2757,JU,319,0,25,1,YUAPJ,A3
2758,JU,AT7,0,30,1,YUALN,C9
2759,LH,320,0,410,1,DAIZN,C6
2760,EY,32A,0,735,1,A6EJA,C1
2761,JU,AT7,0,415,1,YUALP,C9
2762,JU,AT7,0,410,1,YUALN,C7
2763,JU,319,0,410,1,YUAPF,A2
2764,TK,73H,0,540,1,TCJGC,A1
2765,YM,E95,0,535,1,4OAOC,A3
2766,YM,E95,0,535,1,4OAOA,A2
2767,EZS,319,0,545,1,HBJYG,C2
2768,RO,AT5,0,560,1,YRATC,C9
2769,JU,AT7,0,595,1,YUALP,C7
2770,JU,319,0,610,1,YUAPJ,C4
2771,B2,CR2,0,610,1,EW303PJ,A4
2772,SLOVEN,510,1,630,1,S5CMM,A14-3
2773,WZZ,320,0,630,1,HALWC,A5
2774,DY,738,0,650,1,LNDYP,C2
2775,PNC,525,0,870,1,YUSCJ,A13-3
2776,QR,321,0,700,1,A7ADT,A1
2777,JU,AT7,0,670,1,YUALV,C8
2778,JU,319,0,795,1,YUAPE,C3
2779,AZ,320,0,705,1,EIDTL,A3
2780,JU,AT7,0,1145,1,YUALO,C10
2781,JU,AT7,0,800,1,YUALT,B5
2782,JU,319,0,740,1,YUAPF,A4
2783,KK,321,0,735,1,TCAGI,A2
2784,JU,AT7,0,795,1,YUALN,C9
2785,WZZ,320,0,940,1,HALWF,A7
2786,PC,3N0,0,765,1,TCNBO,C4
2787,JU,319,0,815,1,YUAPC,C6
2788,SU,32A,0,775,1,VPBLP,A5
2789,JU,319,0,1055,1,YUAPA,C5
2790,JU,AT7,1,450,1,YUALP,C9
2791,JU,319,0,1025,1,YUAPD,C2
2792,LH,320,0,805,1,DAIPD,A3
2793,LH,E95,0,795,1,DAEMD,A1
2794,JU,AT7,0,830,1,YUALV,C8
2795,LO,E70,0,845,1,SPLDI,A2
2796,A3,320,0,865,1,SXDVW,C1
2797,LX,CS3,0,880,1,HBJCG,A4
2798,OS,DH4,0,910,1,OELGE,C4
2799,WZZ,320,0,1060,1,HALWC,A5
2800,YM,E95,0,975,1,4OAOA,A3
2801,JU,319,0,1075,1,YUAPC,C6
2802,JU,AT7,0,1105,1,YUALT,C8
2803,LO,E75,0,1015,1,SPLID,A1
2804,LH,CR9,0,1015,1,DACNI,A4
2805,JU,AT7,0,1115,1,YUALN,C7
2806,POLAND,E50P,1,900,1,SPIAF,A14-2
2807,JU,319,0,1085,1,YUAPF,C3
2808,JU,319,0,1085,1,YUAPJ,C4
2809,JU,319,0,1080,1,YUAPE,C1
2810,OS,DH4,0,1100,1,OELGA,A3
2811,SU,320,0,1125,1,VPBWE,A2
2812,YM,E95,0,1165,1,4OAOC,A4
2813,TK,32B,0,1225,1,TCJTD,A1
2814,OS,DH4,1,470,1,OELGM,A4
2815,JU,AT7,1,20,1,YUALO,C7
2816,JU,319,1,400,1,YUAPF,C3
2817,SU,320,0,1415,1,VPBET,A2
2818,JU,AT7,1,410,1,YUALN,C8
2819,JU,319,1,475,1,YUAPE,C6
2820,JU,319,1,610,1,YUAPA,C2
2821,JU,319,1,410,1,YUAPJ,C4
2822,WZZ,320,1,755,1,HALWC,A9
2823,JU,319,1,400,1,YUAPD,C5
2824,LH,32A,1,410,1,DAIWC,A1
2825,WZZ,32A,1,375,1,HALYR,A3
2826,EY,32A,1,735,1,A6EIU,A2
2827,JU,AT7,1,415,1,YUALO,C7
2828,EZS,32A,1,520,1,HBJXL,A3
2829,TK,73H,1,540,1,TCJVI,A1
2830,YM,E95,1,915,1,4OAOA,A6
2831,YM,E95,1,535,1,4OAOB,A5
2832,RO,AT5,1,560,1,YRATE,C7
2833,JU,AT7,1,815,1,YUALO,C8
2834,QR,320,1,700,1,A7AHD,A1
2835,JU,AT7,1,805,1,YUALV,C9
2836,JU,319,1,1065,1,YUAPC,C6
2837,HV,73W,1,705,1,PHXRB,A5
2838,JU,AT7,1,800,1,YUALP,C10
2839,JU,319,1,740,1,YUAPJ,C4
2840,JU,AT7,1,795,1,YUALN,C7
2841,RSD,A81,1,780,1,RA61720,B5
2842,TU,736,1,745,1,TSIOL,A4
2843,WZZ,32A,1,755,1,HALYR,A8
2844,SU,32A,1,775,1,VPBTO,C2
2845,FZ,7M8,1,780,1,A6MAX,C5
2846,JU,319,1,1020,1,YUAPD,C1
2847,LH,E95,1,795,1,DAEBB,A3
2848,LH,3N0,1,815,1,DAINP,C3
2849,WZ,320,1,840,1,VPBWY,A1
2850,LO,E75,1,845,1,SPLIA,A2
2851,LX,320,1,880,1,HBIJM,C4
2852,OS,DH4,1,910,1,OELGL,A4
2853,NJE,56X,1,945,1,CSDXR,A12-3
2854,FRF,SF3,1,945,1,HATAD,A11-1
2855,JU,319,1,1080,1,YUAPE,A2
2856,JU,AT7,1,1145,1,YUALP,C9
2857,JU,AT7,1,1115,1,YUALV,C10
2858,JU,319,1,1075,1,YUAPJ,C3
2859,JU,AT7,1,1105,1,YUALO,C7
2860,LH,319,1,1020,1,DAIBF,C5
2861,ST,321,1,1040,1,DASTM,A1
2862,JU,AT7,1,1100,1,YUALN,C8
2863,JU,319,1,1085,1,YUAPA,C4
2864,AZ,320,1,1120,1,EIDTA,C1
2865,OS,DH4,1,1100,1,OELGK,A6
2866,SU,320,1,1125,1,VQBAY,A3
2867,WZZ,32A,1,1115,1,HALYR,A5
2868,WZZ,320,1,1140,1,HALWC,A4
2869,YM,E95,1,1165,1,4OAOC,A2
2870,TK,321,1,1225,1,TCJRF,A1
2871,SU,32A,1,1415,1,VPBTO,A5
2872,JU,319,1,1420,1,YUAPE,C2
2873,WZZ,32A,4,35,1,HALYP,A8
2874,EY,32A,4,320,1,A6EIU,C1
2875,TK,73J,4,485,1,TCJYO,A1
2876,YM,E95,4,495,1,4OAOB,A2
2877,YM,E95,4,495,1,4OAOC,A6
2878,EZS,319,4,510,1,HBJYF,A5
2879,RO,AT5,4,525,1,YRATF,A7
2880,JU,AT7,4,565,1,YUALP,C7
2881,LX,CS1,4,575,1,HBJBA,B4
2882,WZZ,32A,4,600,1,HALYP,A4
2883,QR,320,4,640,1,A7ADB,C1
2884,JU,AT7,4,645,1,YUALV,C10
2885,JU,319,4,650,1,YUAPJ,C2
2886,AZ,320,4,650,1,EIIKG,A5
2887,JU,AT7,4,665,1,YUALO,C9
2888,JU,AT7,4,665,1,YUALT,C8
2889,JU,319,4,670,1,YUAPF,C3
2890,KK,321,4,675,1,TCATF,A2
2891,WZZ,320,4,690,1,HALWC,A8
2892,PC,73H,4,695,1,TCAJP,A4
2893,JU,319,4,695,1,YUAPE,C6
2894,SU,32A,4,715,1,VPBLP,A3
2895,FRV,GLF5,4,720,1,CNMMT,B5
2896,JU,319,4,750,1,YUAPD,C5
2897,EZY,319,4,755,1,GEZBV,A5
2898,LH,321,4,760,1,DAIRY,C4
2899,LH,320,4,770,1,DAIQW,A1
2900,LO,E95,4,810,1,SPLNH,C3
2901,A3,320,4,820,1,SXDVK,A4
2902,LX,319,4,840,1,HBIPT,C2
2903,TK,31Y,4,840,1,TCLER,B7
2904,OS,DH4,4,850,1,OELGC,A3
2905,WZZ,32A,4,895,1,HALYP,A5
2906,JU,AT7,4,960,1,YUALV,C7
2907,JU,319,4,960,1,YUAPD,C6
2908,JU,AT7,4,970,1,YUALT,C9
2909,JU,AT7,4,975,1,YUALP,C8
2910,JU,319,4,975,1,YUAPE,C4
2911,LH,319,4,980,1,DAILA,A4
2912,LO,E75,4,980,1,SPLIN,A3
2913,JU,319,4,1005,1,YUAPF,A2
2914,JU,AT7,4,1005,1,YUALO,C10
2915,JU,319,4,1020,1,YUAPB,C5
2916,JU,319,4,1030,1,YUAPJ,C3
2917,WZZ,320,4,1030,1,HALWC,A5
2918,OS,DH4,4,1070,1,OELGG,A6
2919,SU,320,4,1075,1,VQBIW,C2
2920,YM,E95,4,1085,1,4OAOB,A3
2921,QGA,CL30,4,1120,1,DBOOM,A11-2
2922,WZZ,32A,4,1165,1,HALYP,C2
2923,TK,321,4,1170,1,TCJSB,C4
2924,YM,E95,4,1175,1,4OAOA,C1
2925,OS,DH4,4,1290,1,OELGG,A10
2926,JU,AT7,4,1305,1,YUALO,C10
2927,SU,32A,4,1315,1,VPBLR,A1
2928,JU,319,4,1320,1,YUAPJ,A5
2929,JU,AT7,4,1330,1,YUALV,C9
2930,JU,AT7,4,1340,1,YUALT,B3
2931,JU,319,4,1340,1,YUAPF,A4
2932,JU,319,4,1345,1,YUAPB,A3
2933,JU,AT7,4,1350,1,YUALP,C7
2934,WZZ,320,4,1370,1,HALWC,A8
2935,JU,319,4,1375,1,YUAPD,A7
2936,JU,AT7,4,1375,1,YUALN,C8
2937,JU,319,4,1375,1,YUAPE,A2
2938,JU,319,4,1400,1,YUAPA,A6
2939,WZZ,32A,5,20,1,HALWV,A10
2940,EY,32A,5,320,1,A6EIM,C1
2941,JU,319,5,345,1,YUAPF,A1
2942,JU,319,5,350,1,YUAPB,A3
2943,TK,73H,5,485,1,TCJGY,A1
2944,YM,100,5,495,1,4OAOM,A3
2945,LX,319,5,515,1,HBIPX,C2
2946,B2,E75,5,570,1,EW512PO,C3
2947,YM,E95,5,575,1,4OAOA,A2
2948,QR,320,5,640,1,A7AHL,A1
2949,JU,319,5,650,1,YUAPE,C2
2950,AZ,320,5,650,1,EIDSW,A3
2951,JU,AT7,5,665,1,YUALP,C8
2952,JU,AT7,5,665,1,YUALT,C7
2953,JU,319,5,670,1,YUAPF,C3
2954,JU,AT7,5,685,1,YUALN,C10
2955,WZZ,320,5,710,1,HALWC,A8
2956,SU,32A,5,715,1,VPBCA,C4
2957,JU,733,5,720,1,YUANK,A6
2958,FZ,7M8,5,735,1,A6FMC,A2
2959,JU,319,5,750,1,YUAPA,A4
2960,JU,319,5,750,1,YUAPB,A2
2961,JU,AT7,5,755,1,YUALT,C7
2962,LH,CR9,5,760,1,DACKL,A3
2963,LH,321,5,760,1,DAIDG,A1
2964,WZ,320,5,780,1,VPBWZ,C1
2965,LO,E75,5,810,1,SPLIC,C4
2966,LX,320,5,835,1,HBIJR,A5
2967,OS,DH4,5,850,1,OELGG,A1
2968,YM,100,5,875,1,4OAOM,A3
2969,JU,AT7,5,960,1,YUALT,C10
2970,JU,319,5,960,1,YUAPF,A1
2971,JU,319,5,975,1,YUAPE,C1
2972,LH,CR9,5,980,1,DACKB,A3
2973,JU,AT7,5,1000,1,YUALN,C8
2974,SRBIJA,525,5,1005,1,YUMTU,A12-2
2975,JU,319,5,1020,1,YUAPC,C2
2976,WZZ,320,5,1085,1,HALWC,A3
2977,WZZ,32A,5,1095,1,HALYP,A5
2978,YM,E95,5,1125,1,4OAOA,A2
2979,TK,32B,5,1170,1,TCJSE,A1
2980,DY,73H,5,1220,1,LNNGW,A4
2981,SU,32A,5,1315,1,VPBNL,A5
2982,JU,319,5,1340,1,YUAPF,C4
2983,WZZ,320,5,1395,1,HALWC,A9
2984,WZZ,32A,6,80,1,HALYP,A8
2985,SM,320,6,270,1,SUBPV,A5
2986,FRV,GLF5,6,300,1,CNMMT,B4
2987,EY,320,6,320,1,A6EIN,A2
2988,TK,73H,6,485,1,TCJHY,A1
2989,EZS,319,6,505,1,HBJYC,A3
2990,JU,AT7,6,550,1,YUALN,A10
2991,YM,E95,6,575,1,4OAOA,A4
2992,QR,321,6,640,1,A7AIC,C6
2993,JU,AT7,6,645,1,YUALV,C7
2994,JU,319,6,650,1,YUAPA,C2
2995,JU,319,6,655,1,YUAPF,A6
2996,JU,319,6,660,1,YUAPE,C5
2997,HV,73H,6,660,1,PHHZW,A5
2998,JU,319,6,660,1,YUAPC,A7
2999,JU,319,6,670,1,YUAPD,C1
3000,JU,319,6,695,1,YUAPI,C6
3001,PC,3N0,6,695,1,TCNBF,A3
3002,SU,32A,6,715,1,VPBLR,A4
3003,FZ,7M8,6,735,1,A6FMF,A5
3004,EZY,319,6,755,1,OELQE,A1
3005,JU,AT7,6,755,1,YUALN,A10
3006,LH,CR9,6,760,1,DACNW,C5
3007,LH,321,6,770,1,DAISU,A2
3008,LX,320,6,840,1,HBIJS,A1
3009,OS,DH4,6,850,1,OELGE,C3
3010,YM,100,6,875,1,4OAOM,A3
3011,JU,AT7,6,960,1,YUALV,C9
3012,JU,319,6,960,1,YUAPA,C4
3013,JU,AT7,6,970,1,YUALN,C7
3014,JU,319,6,975,1,YUAPC,A1
3015,JU,AT7,6,975,1,YUALP,C10
3016,LO,E75,6,980,1,SPLID,A4
3017,LH,319,6,980,1,DAIBC,A2
3018,JU,AT7,6,1000,1,YUALT,C8
3019,JU,319,6,1005,1,YUAPE,C3
