,ARR_Airline,AC_TYPE,STA_Weekday,STA_time_of_the_day,STA_Month,Registration,Arr_Stand
5737,JU,319,4,660,2,YUAPD,A3
5738,JU,AT7,4,665,2,YUALU,C9
5739,JU,AT7,4,665,2,YUALT,C10
5740,JU,319,4,670,2,YUAPI,C6
5741,BZE,LJ75,4,670,2,GZNTH,A14-2
5742,KK,320,4,675,2,TCATT,A6
5743,WZZ,320,4,690,2,HALWO,A8
5744,PC,73H,4,695,2,TCAIS,C5
5745,JU,319,4,695,2,YUAPB,C3
5746,SU,320,4,715,2,VQBTX,C4
5747,JU,319,4,750,2,YUAPE,C2
5748,JU,AT7,4,755,2,YUALV,C7
5749,EZY,319,4,755,2,OELQD,A1
5750,LH,E95,4,760,2,DAEBB,A2
5751,LH,3N0,4,770,2,DAINI,A4
5752,AMER,TBM8,4,780,2,N850LH,A13-3
5753,LO,E75,4,810,2,SPLIM,A3
5754,A3,320,4,820,2,SXDVG,C1
5755,TK,31Y,4,840,2,TCSGM,B7
5756,LX,320,4,840,2,HBIJM,C5
5757,OS,DH4,4,850,2,OELGK,A1
5758,WZZ,32A,4,895,2,HALYP,A5
5759,JU,319,4,960,2,YUAPE,C3
5760,JU,AT7,4,960,2,YUALV,C9
5761,JU,AT7,4,970,2,YUALO,A6
5762,JU,AT7,4,975,2,YUALU,C8
5763,JU,319,4,975,2,YUAPI,C4
5764,JU,319,4,975,2,YUAPJ,C2
5765,LH,319,4,980,2,DAIBF,A4
5766,LO,E75,4,980,2,SPLII,A2
5767,HV,73H,4,995,2,PHHZX,A3
5768,SLOVEN,56X,4,1000,2,S5BDM,A14-1
5769,JU,319,4,1005,2,YUAPD,C1
5770,JU,319,4,1020,2,YUAPA,C4
5771,WZZ,320,4,1030,2,HALWO,A5
5772,JU,319,4,1030,2,YUAPB,C5
5773,OS,DH4,4,1070,2,OELGJ,A7
5774,SU,320,4,1075,2,VPBWF,A2
5775,YM,E95,4,1125,2,4OAOB,A3
5776,TK,321,4,1170,2,TCJMI,A1
5777,RO,AT5,4,1215,2,YRATA,C7
5778,OS,DH4,4,1290,2,OELGJ,A6
5779,YM,E95,4,1295,2,4OAOC,A5
5780,JU,319,4,1310,2,YUAPA,C1
5781,SU,32A,4,1315,2,VPBLO,C2
5782,JU,319,4,1320,2,YUAPB,A4
5783,JU,AT7,4,1330,2,YUALO,C10
5784,JU,319,4,1340,2,YUAPI,A2
5785,JU,AT7,4,1340,2,YUALV,C8
5786,JU,AT7,4,1350,2,YUALU,C9
5787,WZZ,320,4,1370,2,HALWO,A8
5788,JU,319,4,1375,2,YUAPD,C4
5789,JU,319,4,1375,2,YUAPE,A1
5790,IMX,ATF,4,1380,2,HBALR,B3
5791,JU,319,4,1400,2,YUAPJ,C6
5792,LH,32A,4,1415,2,DAIUC,A5
5793,BZE,LJ75,6,750,2,GZNTH,A14-2
5794,JU,319,6,410,2,YUAPF,C5
5795,JU,AT7,6,415,2,YUALU,C8
5796,JU,AT7,6,795,2,YUALP,C9
5797,JU,AT7,6,425,2,YUALV,C10
5798,JU,319,6,420,2,YUAPI,C6
5799,JU,319,6,405,2,YUAPB,C2
5800,JU,319,6,610,2,YUAPA,C1
5801,WZZ,32A,6,390,2,HALYP,A5
5802,LH,320,6,410,2,DAIQH,A1
5803,WZZ,320,6,735,2,HALWO,A9
5804,SM,320,6,330,2,SUBTM,A3
5805,EY,32A,6,735,2,A6EIX,A2
5806,TK,73H,6,540,2,TCJFV,A4
5807,EZS,319,6,540,2,HBJYM,C2
5808,JU,AT7,6,595,2,YUALU,C8
5809,HV,73W,6,605,2,PHXRY,A5
5810,YM,E95,6,615,2,4OAOA,A3
5811,AUSTRI,172,6,690,2,OEKUN,A12-3
5812,QR,321,6,700,2,A7ADV,A1
5813,JU,AT7,6,780,2,YUALV,C10
5814,JU,319,6,1065,2,YUAPD,C6
5815,JU,319,6,795,2,YUAPI,C5
5816,JU,319,6,740,2,YUAPB,C2
5817,JU,319,6,815,2,YUAPJ,A4
5818,JU,319,6,795,2,YUAPF,C1
5819,AUSTRI,WT9,6,690,2,OEAOM,A12-1
5820,WZZ,32A,6,755,2,HALYP,A8
5821,PC,32A,6,765,2,TCDCH,A5
5822,SU,32A,6,775,2,VPBCA,A3
5823,FZ,7M8,6,780,2,A6FMI,C4
5824,LH,319,6,795,2,DAIBF,C3
5825,JU,AT7,6,800,2,YUALU,C8
5826,EZY,32A,6,790,2,OEIZH,A1
5827,LH,3N0,6,815,2,DAINL,C2
5828,LX,320,6,895,2,HBJLQ,A5
5829,AUSTRI,WT9,6,900,2,OEAOM,A13-3
5830,OS,DH4,6,910,2,OELGC,A3
5831,YM,E95,6,975,2,4OAOB,A4
5832,JU,319,6,1055,2,YUAPJ,A3
5833,JU,AT7,6,1060,2,YUALU,C8
5834,JU,319,6,1050,2,YUAPF,C2
5835,JU,AT7,6,1090,2,YUALT,C10
5836,JU,AT7,6,1020,2,YUALP,C7
5837,JU,AT7,6,1115,2,YUALV,C9
5838,LO,E75,6,1015,2,SPLIO,A2
5839,LH,319,6,1020,2,DAILW,A5
5840,JU,319,6,1095,2,YUAPB,C5
5841,KK,319,6,1055,2,TCATD,A7
5842,JU,319,6,1070,2,YUAPA,C3
5843,JU,319,6,1420,2,YUAPI,C4
5844,WZZ,320,6,1060,2,HALWO,A9
5845,OS,DH4,6,1100,2,OELGI,A5
5846,AZ,320,6,1120,2,EIEIC,C1
5847,SU,320,6,1125,2,VPBWE,A4
5848,YM,100,6,1125,2,4OAOM,A2
5849,WZZ,32A,6,1115,2,HALYP,A8
5850,LX,320,6,1200,2,HBIJI,A3
5851,PINK,56X,6,1260,2,YUPNK,A13-1
5852,TK,73H,6,1225,2,TCJGT,A1
5853,JU,AT7,6,1245,2,YUALP,C7
5854,AMER,525A,2,780,2,N188MP,A14-3
5855,SU,738,6,1415,2,VQBHR,A2
5856,JU,AT7,0,425,2,YUALO,B3
5857,JU,319,0,410,2,YUAPJ,C1
5858,JU,AT7,0,410,2,YUALV,C10
5859,JU,AT7,0,450,2,YUALT,C8
5860,JU,319,6,1395,2,YUAPB,A3
5861,JU,AT7,0,20,2,YUALU,C7
5862,JU,319,0,400,2,YUAPF,C3
5863,WZZ,320,0,375,2,HALWO,A4
5864,WZZ,32A,0,390,2,HALYP,A5
5865,JU,319,0,400,2,YUAPE,C6
5866,JU,319,0,70,2,YUAPD,C2
5867,JU,AT7,0,30,2,YUALP,C9
5868,LH,32A,0,410,2,DAIZX,A1
5869,EY,32A,0,735,2,A6EIT,C2
5870,JU,AT7,0,435,2,YUALP,C7
5871,JU,319,0,400,2,YUAPI,A2
5872,OS,320,0,480,2,OELBR,A3
5873,TK,73J,0,540,2,TCJYN,A1
5874,YM,E95,0,535,2,4OAOB,A5
5875,YM,E95,0,535,2,4OAOA,A4
5876,EZS,320,0,545,2,HBJXI,A2
5877,RO,AT5,0,560,2,YRATB,C8
5878,JU,319,0,610,2,YUAPD,C1
5879,B2,E70,0,610,2,EW340PO,A3
5880,WZZ,320,0,630,2,HALWO,A4
5881,HV,73H,0,650,2,PHHZL,A2
5882,DY,73H,0,650,2,LNNGP,C3
5883,QR,321,0,700,2,A7ADV,C4
5884,JU,AT7,0,800,2,YUALO,C7
5885,AZ,319,0,705,2,EIIMT,A5
5886,JU,319,0,1080,2,YUAPB,C6
5887,JU,733,0,1055,2,YUANK,A6
5888,CTM,F2TH,1,570,2,FRAFC,C10
5889,VLJ,H25B,1,585,2,FHPUR,C10
5890,JU,AT7,0,595,2,YUALT,C8
5891,JU,AT7,0,815,2,YUALP,B4
5892,JU,319,0,740,2,YUAPJ,A3
5893,KK,321,0,735,2,TCETV,A1
5894,JU,AT7,0,795,2,YUALV,B5
5895,WZZ,320,0,940,2,HALWG,A7
5896,JU,319,0,795,2,YUAPI,C5
5897,PC,73H,0,765,2,TCCPI,A4
5898,SU,32A,0,775,2,VQBSU,C1
5899,JU,319,0,815,2,YUAPF,C4
5900,JU,AT7,1,450,2,YUALT,C9
5901,JU,319,0,1025,2,YUAPE,C2
5902,EZY,32A,0,790,2,OEIZO,C3
5903,LH,32A,0,805,2,DAIWC,A5
5904,LH,32A,0,795,2,DAIUZ,A2
5905,AMER,EA5,0,870,2,N990NA,A14-1
5906,LO,E75,0,845,2,SPLIN,A3
5907,A3,320,0,865,2,SXDGE,A1
5908,LX,CS3,0,880,2,HBJCF,C1
5909,ENZ,143,0,960,2,GJOTE,B7
5910,OS,DH4,0,910,2,OELGA,A4
5911,SRN,AT7,0,990,2,SPSPC,B6
5912,WZZ,320,0,1060,2,HALWO,A5
5913,YM,E95,0,975,2,4OAOB,A3
5914,JU,319,0,1085,2,YUAPF,C4
5915,JU,AT7,0,1105,2,YUALO,C7
5916,LH,CR9,0,1015,2,DACNR,A1
5917,LO,E75,0,1015,2,SPLII,A4
5918,JU,AT7,0,1115,2,YUALV,C8
5919,JU,319,0,1075,2,YUAPJ,A2
5920,JU,319,0,1085,2,YUAPD,C3
5921,JU,319,0,1075,2,YUAPI,C1
5922,FB,E90,0,1070,2,LZPLO,A7
5923,SRBIJA,551,0,1095,2,YUBTT,A12-3
5924,OS,DH4,0,1100,2,OELGL,A3
5925,SU,320,0,1125,2,VPBWE,C5
5926,JU,AT7,0,1145,2,YUALP,C6
5927,YM,E95,0,1165,2,4OAOC,A5
5928,TK,321,0,1225,2,TCJSC,A1
5929,EMIRAT,FA7X,2,690,2,A6MBS,B3
5930,OS,320,1,470,2,OELXA,A4
5931,JU,AT7,1,425,2,YUALP,C6
5932,JU,319,1,400,2,YUAPF,C4
5933,SU,32A,0,1415,2,VQBPV,A2
5934,JU,319,1,610,2,YUAPI,C1
5935,JU,AT7,1,425,2,YUALO,C8
5936,CZECH,PC12,1,780,2,OKPMP,A14-2
5937,JU,319,1,475,2,YUAPB,A1
5938,JU,AT7,1,415,2,YUALV,C7
5939,JU,319,1,410,2,YUAPD,C3
5940,WZZ,320,1,375,2,HALWO,A5
5941,JU,319,1,400,2,YUAPE,C2
5942,LH,319,1,410,2,DAILN,A3
5943,WZZ,320,1,755,2,HALWG,A9
5944,EY,32A,1,735,2,A6EJA,A2
5945,JU,AT7,1,410,2,YUALU,A6
5946,EZS,320,1,520,2,HBJYA,A5
5947,TK,73H,1,540,2,TCJHV,A3
5948,YM,E95,1,535,2,4OAOB,C3
5949,YM,E95,1,535,2,4OAOC,C4
5950,RO,AT5,1,560,2,YRATE,C7
5951,SRBIJA,551,1,555,2,YUBTT,A12-3
5952,XRO,680,3,1320,2,PHMDG,A11-2
5953,QR,320,1,700,2,A7ADC,C2
5954,JU,AT7,1,805,2,YUALO,C7
5955,JU,319,1,740,2,YUAPJ,C3
5956,HV,73H,1,705,2,PHHZV,A5
5957,JU,AT7,1,830,2,YUALT,C9
5958,JU,319,1,795,2,YUAPD,A1
5959,JU,AT7,1,800,2,YUALP,C8
5960,JU,AT7,1,815,2,YUALU,C10
5961,TU,736,1,745,2,TSIOL,A8
5962,WZZ,320,1,755,2,HALWO,A4
5963,BELGIA,510,2,900,2,OOPRM,A14-1
5964,SU,32A,1,775,2,VQBSU,C1
5965,JU,319,1,1080,2,YUAPA,C6
5966,JU,319,1,1020,2,YUAPF,C5
5967,FZ,7M8,1,780,2,A6FMG,C4
5968,JU,319,1,1025,2,YUAPE,C2
5969,LH,E95,1,795,2,DAEBB,A3
5970,LH,3N0,1,815,2,DAINA,A5
5971,WZ,320,1,840,2,VPBWZ,C3
5972,LO,E75,1,845,2,SPLIC,A2
5973,LX,320,1,880,2,HBIJM,C1
5974,OS,DH4,1,910,2,OELGL,A4
5975,JU,319,1,1065,2,YUAPB,C3
5976,JU,AT7,1,1145,2,YUALT,C7
5977,JU,AT7,1,1105,2,YUALP,C8
5978,JU,319,1,1095,2,YUAPJ,C4
5979,JU,AT7,1,1100,2,YUALU,C9
5980,JU,AT7,1,1115,2,YUALO,C10
5981,JU,319,1,1085,2,YUAPD,C1
5982,LH,319,1,1020,2,DAIBA,A5
5983,JU,319,1,1075,2,YUAPI,A2
5984,ENZ,143,1,1200,2,GJOTE,B4
5985,AZ,320,1,1120,2,EIDSA,A1
5986,OS,DH4,1,1100,2,OELGO,C5
5987,WZZ,320,1,1115,2,HALWG,A4
5988,WZZ,320,1,1140,2,HALWO,A3
5989,IJM,GL5T,1,1170,2,OELPZ,B7
5990,YM,E95,1,1165,2,4OAOC,A5
5991,TK,3N1,1,1225,2,TCLSD,A1
5992,OS,DH4,2,470,2,OELGN,A4
5993,JU,AT7,2,435,2,YUALU,C8
5994,JU,AT7,2,450,2,YUALT,C7
5995,SU,320,1,1415,2,VPBIJ,C1
5996,JU,AT7,2,415,2,YUALP,C9
5997,JU,319,2,410,2,YUAPA,C6
5998,JU,319,2,395,2,YUAPJ,C4
5999,JU,319,1,1420,2,YUAPD,C2
6000,JU,319,2,400,2,YUAPE,A1
6001,JU,319,2,410,2,YUAPF,C3
6002,WZZ,320,2,735,2,HALWG,A9
6003,LH,319,2,410,2,DAIBD,A5
6004,WZZ,320,3,1095,2,HALWO,A8
6005,EY,32A,2,735,2,A6EIW,C2
6006,JU,319,2,610,2,YUAPD,C1
6007,TK,73H,2,540,2,TCJGZ,A1
6008,YM,E95,2,535,2,4OAOB,A2
6009,YM,E95,2,535,2,4OAOA,A3
6010,RO,AT5,2,560,2,YRATG,C7
6011,ARUBA,F2TH,2,900,2,P4DBB,A11-1
6012,JU,AT7,2,595,2,YUALP,C8
6013,MDF,SW4,2,720,2,SXBGU,A13-4
6014,MAE,501,3,900,2,OEFMK,A14-2
6015,QR,321,2,700,2,A7AID,A3
6016,JU,AT7,2,815,2,YUALV,C10
6017,JU,319,2,795,2,YUAPI,A6
6018,MDF,SW4,2,1005,2,SXBMT,A14-4
6019,JU,733,2,1085,2,YUANK,C6
